last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Belt, Brandon,474832,2017,451,279,0.241,0.265,-0.02400000000000002,0.469,0.53,-0.061000000000000054,0.352,0.385,-0.03300000000000003
Maybin, Cameron,457727,2017,450,303,0.228,0.233,-0.0050000000000000044,0.365,0.349,0.016000000000000014,0.3,0.301,-0.0010000000000000009
Walker, Neil,435522,2017,448,311,0.265,0.259,0.006000000000000005,0.439,0.418,0.02100000000000002,0.346,0.34,0.00599999999999995
Turner, Trea,607208,2017,447,333,0.284,0.273,0.010999999999999954,0.451,0.428,0.02300000000000002,0.338,0.329,0.009000000000000008
Davidson, Matt,571602,2017,443,254,0.22,0.216,0.0040000000000000036,0.452,0.461,-0.009000000000000008,0.297,0.304,-0.007000000000000006
DeJong, Paul,657557,2017,443,294,0.285,0.264,0.020999999999999963,0.532,0.487,0.04500000000000004,0.359,0.335,0.023999999999999966
Grichuk, Randal,545341,2017,442,281,0.238,0.244,-0.006000000000000005,0.473,0.501,-0.028000000000000025,0.315,0.332,-0.017000000000000015
Conforto, Michael,624424,2017,440,262,0.279,0.259,0.020000000000000018,0.555,0.517,0.038000000000000034,0.392,0.377,0.015000000000000013
DeShields, Delino,592261,2017,440,284,0.269,0.209,0.060000000000000026,0.367,0.307,0.06,0.315,0.275,0.03999999999999998
Forsythe, Logan,523253,2017,439,257,0.224,0.236,-0.011999999999999983,0.327,0.384,-0.056999999999999995,0.307,0.332,-0.025000000000000022
Villar, Jonathan,542340,2017,436,274,0.241,0.218,0.022999999999999993,0.372,0.333,0.03899999999999998,0.287,0.266,0.020999999999999963
Martinez, Victor,400121,2017,435,331,0.255,0.264,-0.009000000000000008,0.372,0.44,-0.068,0.303,0.334,-0.031000000000000028
Zunino, Mike,572287,2017,435,228,0.251,0.22,0.031,0.509,0.466,0.04299999999999998,0.355,0.329,0.025999999999999968
Jay, Jon,445055,2017,433,304,0.296,0.277,0.01899999999999996,0.375,0.358,0.017000000000000015,0.33,0.32,0.010000000000000009
Taylor, Michael A.,572191,2017,432,265,0.271,0.233,0.038000000000000006,0.486,0.425,0.061,0.338,0.302,0.03600000000000003
Bour, Justin,571506,2017,429,286,0.289,0.276,0.012999999999999956,0.536,0.515,0.02100000000000002,0.374,0.368,0.006000000000000005
Contreras, Willson,575929,2017,428,282,0.276,0.26,0.016000000000000014,0.499,0.475,0.02400000000000002,0.362,0.351,0.01100000000000001
Holliday, Matt,407812,2017,427,264,0.231,0.232,-0.0010000000000000009,0.432,0.435,-0.0030000000000000027,0.32,0.333,-0.013000000000000012
