last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Díaz, Elias,553869,55,7.8,25.5,110.6,89,93.3,89.7,443,136,438,24,43.6,2,3.6,2.7
Burleson, Alec,676475,55,12.8,41.8,110.6,92.6,94.8,88.7,393,186,378,27,49.1,2,3.6,2.9
Robles, Victor,645302,55,13.4,21.8,106.2,85.2,89.4,81.8,415,139,,14,25.5,2,3.6,2.7
Cron, C.J.,543068,55,14,34.5,111.9,91.6,99,83.9,479,181,404,27,49.1,10,18.2,11.6
Happ, Ian,664023,55,14,52.7,112.4,90.7,97.4,80.8,423,188,399,22,40,6,10.9,6.6
Thomas, Alek,677950,54,9.8,22.2,110.3,91.7,93.8,90.6,432,149,427,27,50,5,9.3,6.8
Paredes, Isaac,670623,54,23.1,29.6,105.7,87.1,90.6,87.3,404,176,380,14,25.9,2,3.7,2.5
Realmuto, J.T.,592663,54,11.8,37,110.6,86.2,95.8,80.6,448,162,422,20,37,6,11.1,7.3
Swanson, Dansby,621020,54,6.8,27.8,109,89.8,95.5,84.9,379,133,,20,37,5,9.3,5.4
Soler, Jorge,624585,54,22.6,42.6,114.1,95.4,99.6,91.2,417,225,409,31,57.4,11,20.4,13.1
De La Cruz, Bryan,650559,54,7.1,38.9,109.5,92.6,95.2,90.4,388,144,371,26,48.1,4,7.4,4.9
Contreras, William,661388,53,6.6,30.2,108.8,90.2,94.3,87.5,410,143,410,25,47.2,4,7.5,5.5
Walker, Jordan,691023,53,2.7,26.4,113.9,90,95.3,86.9,383,131,382,25,47.2,4,7.5,5.1
Cabrera, Oswaldo,665828,53,13.1,24.5,106.8,88.9,96.1,85.9,397,134,349,21,39.6,3,5.7,4.1
Greene, Riley,682985,52,4.2,30.8,107.9,90.1,96.4,85.6,414,141,384,23,44.2,6,11.5,6.5
Judge, Aaron,592450,52,18.4,40.4,114.4,94.6,98.8,89.9,422,217,405,33,63.5,12,23.1,12.4
García, Luis,671277,52,1.4,30.8,107.7,88.3,93.3,85.1,430,129,415,19,36.5,3,5.8,4.8
Margot, Manuel,622534,52,15,23.1,105.6,85.4,88.6,85.2,427,158,417,20,38.5,4,7.7,5.9
Stephenson, Tyler,663886,52,13.3,42.3,106.8,90.5,96.8,79.1,367,178,,24,47.1,4,7.7,4.5
Wiemer, Joey,686894,52,5.7,28.8,105.4,85.6,95.3,78.5,385,146,385,18,34.6,3,5.8,3.9
Olson, Matt,621566,52,15.2,38.5,118.6,95.9,100.7,89.7,448,208,419,26,50,12,23.1,11.3
Abrams, CJ,682928,52,14,40.4,107.5,85.9,90.6,80.2,377,163,370,22,42.3,1,1.9,1.3
Gorman, Nolan,669357,51,16.1,49,112.3,92.8,96.7,90.9,446,187,411,28,54.9,10,19.6,12.2
Davis, J.D.,605204,51,8.3,39.2,111.3,91.6,93,90.3,417,153,389,25,49,5,9.8,6.7
